Wavelength	1mm_blackTPU00000.asd
674	 3.46884911854407 
675	 3.90182169969114 
676	 5.07603223136577 
677	 4.18641217276049 
678	 3.53194795557098 
679	 4.21295224748043 
680	 5.58805437444563 
681	 3.22593511267961 
682	 2.82548483779139 
683	 4.23567477929705 
684	 3.49919343148147 
685	 3.60530733551631 
686	 4.31401975994356 
687	 4.78363456477843 
688	 5.85807749416988 
689	 5.7759264621049 
690	 4.07924408538991 
691	 3.41230757075925 
692	 4.6709566414181 
693	 6.55680474643614 
694	 5.66625647634492 
695	 6.13903987324763 
696	 6.87795008464033 
697	 5.72129659148946 
698	 4.93073643746692 
699	 5.18160735939613 
700	 6.50167139135484 
701	 7.85291627542981 
702	 9.38639460950326 
703	 9.9966123665148 
704	 7.12063596982173 
705	 5.95775490785694 
706	 6.82745508846064 
707	 7.99552286634986 
708	 6.05602677376275 
709	 5.71587000145506 
710	 9.31717228497699 
711	 9.26183398511531 
712	 8.47812947903426 
713	 8.25873006966451 
714	 8.24187633628555 
715	 7.86756561335792 
716	 7.57365456626821 
717	 8.13830855018235 
718	 9.36976096973817 
719	 9.70609845799966 
720	 8.49298399064722 
721	 8.61538230880014 
722	 8.0226006469311 
723	 6.96755636907135 
724	 8.90036105303046 
725	 8.74980505384694 
726	 7.52054280450289 
727	 8.48261941263789 
728	 9.64392714650093 
729	 10.1066015228837 
730	 9.84872972696449 
731	 11.57592980208 
