Wavelength	reference_whiteABS00000.asd
597	 6253.5521989263 
598	 6285.44270621811 
599	 6316.49989558599 
600	 6345.9930118704 
601	 6378.06654792866 
602	 6416.80178489218 
603	 6454.09737883247 
604	 6486.83980524564 
605	 6526.0142336918 
606	 6565.42287000696 
607	 6610.46368687397 
608	 6677.51280085486 
609	 6752.75741673467 
610	 6835.9883294046 
611	 6929.3512103072 
612	 7019.53944590731 
613	 7106.73162366975 
614	 7191.33585068843 
615	 7267.67959662767 
616	 7341.69522253684 
617	 7414.82086411733 
618	 7482.63896269323 
619	 7554.05870795492 
620	 7629.74900735701 
621	 7706.62925962544 
622	 7782.65137177804 
623	 7860.01119829628 
624	 7940.43345216735 
625	 8021.1313927841 
626	 8099.81088005802 
627	 8175.90459716573 
628	 8251.87236215481 
629	 8323.60700513311 
630	 8390.08529989803 
631	 8452.11878519146 
632	 8514.89027373614 
633	 8573.56882715598 
634	 8623.80711457702 
635	 8675.74816471667 
636	 8726.59053405388 
637	 8774.49833222213 
638	 8820.94511538317 
639	 8867.00462465444 
640	 8912.52437904086 
641	 8956.4384828498 
642	 9009.15016501052 
643	 9064.15592553295 
644	 9112.53438584827 
645	 9165.81251348764 
646	 9220.77038602022 
647	 9275.40178810005 
648	 9335.15868172287 
649	 9391.44999962961 
650	 9445.35088846348 
651	 9507.55818344444 
652	 9570.83408978122 
653	 9636.16203311392 
654	 9706.35009289658 
655	 9775.82946698965 
656	 9844.09097176126 
657	 9912.12723570212 
658	 9982.71719831078 
659	 10056.8739467084 
660	 10133.8860161481 
661	 10210.6795008778 
662	 10289.7378387576 
663	 10369.7606883435 
664	 10448.0369672543 
665	 10526.0752179582 
666	 10605.2280254867 
667	 10687.0935862977 
668	 10774.4694687858 
669	 10864.0337610069 
670	 10953.7566896895 
671	 11043.4533105183 
672	 11135.3546233473 
673	 11229.9410493201 
674	 11326.7951253146 
675	 11427.6374775727 
676	 11528.802672261 
677	 11628.002618105 
678	 11736.233204116 
679	 11842.2714503815 
680	 11942.7884843721 
681	 12052.4062881139 
682	 12160.4845425398 
683	 12267.2568388318 
684	 12379.6884793058 
685	 12492.8060828988 
686	 12605.4612058376 
687	 12717.727657448 
688	 12831.2306912696 
689	 12944.9388161468 
690	 13058.8016590924 
691	 13176.1398493738 
692	 13291.006656904 
693	 13403.2350150522 
694	 13517.4614287708 
695	 13623.6540037522 
696	 13727.7946084588 
697	 13838.3176805859 
698	 13941.8723364369 
699	 14042.9732299789 
700	 14144.1923873658 
701	 14237.3634238437 
702	 14330.6662439032 
703	 14424.1876288377 
704	 14509.9580670946 
705	 14596.7246820793 
