Wavelength	4mm_whiteABS00000.asd
749	 2508.41071729541 
750	 2510.65070857331 
751	 2515.54113907588 
752	 2519.10720363725 
753	 2520.42832577902 
754	 2522.56346495853 
755	 2524.56595174057 
756	 2526.14008135541 
757	 2527.14785529485 
758	 2527.8598498977 
759	 2527.21332501907 
760	 2524.99971052445 
761	 2524.16258688594 
762	 2524.08951373866 
763	 2524.6355399123 
764	 2526.26927968 
765	 2527.88908980054 
766	 2529.28861676228 
767	 2530.29542547064 
768	 2527.59676184488 
769	 2524.74009855595 
770	 2523.98976448083 
771	 2521.25704295744 
772	 2518.12187499315 
773	 2515.4971477729 
774	 2513.7624170021 
775	 2511.21390479469 
776	 2507.76932237226 
777	 2503.96525402224 
778	 2500.33930042592 
779	 2496.2809444558 
780	 2491.27515232519 
781	 2485.2161062008 
782	 2479.22120304476 
783	 2473.13038891405 
784	 2465.71053595109 
785	 2459.43402298356 
786	 2453.93328305342 
787	 2447.98843529018 
788	 2440.6932296096 
789	 2432.78639018914 
790	 2425.32177091744 
791	 2420.37907183677 
792	 2412.26618219661 
793	 2401.82852612249 
794	 2393.94888975404 
795	 2384.45703046229 
796	 2373.70886307224 
797	 2363.25269130818 
798	 2355.48381233166 
799	 2347.78995001985 
800	 2338.71092657958 
801	 2328.4997825741 
802	 2320.27011222884 
803	 2312.81950912573 
804	 2303.09295131252 
805	 2293.50862905831 
806	 2283.85895198111 
807	 2273.70887997007 
808	 2263.08946188469 
809	 2252.92092821449 
810	 2242.8891753104 
811	 2231.25720941182 
812	 2221.05661311868 
813	 2211.22338118427 
814	 2199.83419819775 
815	 2189.39494204184 
816	 2178.90149135188 
817	 2167.88077015003 
818	 2157.91228729175 
819	 2147.48015198743 
820	 2136.09812404218 
821	 2123.97425160206 
822	 2112.29535306274 
823	 2100.63081710431 
824	 2088.56374737731 
825	 2077.51811045707 
826	 2066.5728934006 
827	 2055.61325827389 
828	 2045.92179435982 
829	 2035.77434138051 
830	 2023.24865318838 
831	 2007.09302954712 
832	 1993.35496888261 
833	 1979.89777673275 
834	 1965.12716874327 
835	 1951.63658930541 
836	 1940.14067260444 
837	 1930.45617646039 
838	 1921.58386065591 
839	 1913.95260752466 
840	 1906.8484339659 
841	 1899.35750250506 
842	 1891.11072656806 
843	 1881.80337591037 
844	 1870.94030323695 
845	 1857.29722234671 
846	 1846.08059145612 
847	 1836.17251701645 
848	 1824.0164185669 
849	 1811.35729937861 
850	 1799.18807583413 
851	 1787.65460551109 
852	 1774.78163499566 
853	 1763.15085592904 
854	 1752.52323318814 
855	 1740.56723697898 
856	 1726.75387894475 
857	 1713.37857184126 
858	 1701.74748794507 
859	 1686.29186892656 
860	 1669.00553818896 
861	 1652.42073763473 
862	 1639.76032160995 
863	 1625.21857027842 
864	 1608.70265062659 
865	 1591.80313463039 
866	 1572.63698466689 
867	 1553.56140886053 
868	 1535.92634134821 
869	 1518.60109170448 
870	 1500.67999672075 
871	 1482.94988815033 
872	 1466.99559373814 
873	 1450.65237504018 
874	 1436.9102277392 
875	 1427.57749977938 
876	 1418.82355204399 
877	 1413.51396778972 
878	 1410.39511148941 
879	 1405.02126896636 
880	 1400.91766652654 
881	 1398.6639040477 
882	 1397.56354156238 
883	 1394.77338761313 
884	 1391.15837575112 
885	 1386.87437812502 
886	 1381.12297144397 
887	 1374.68323757708 
888	 1367.3254254189 
889	 1358.73292299895 
890	 1349.83818816985 
891	 1340.37584565248 
892	 1330.31520575114 
893	 1320.15325476323 
894	 1309.12515376596 
895	 1298.27915897729 
896	 1288.85084536855 
897	 1277.59543146891 
898	 1266.36126364636 
899	 1256.06715946686 
900	 1244.52285710754 
901	 1234.77092746597 
902	 1225.46533771221 
903	 1213.60575600155 
904	 1203.01628217631 
905	 1191.97707994754 
906	 1179.37761798929 
907	 1167.23493904529 
908	 1155.07796477611 
909	 1143.11713878907 
910	 1131.69019348538 
911	 1117.99573270603 
912	 1104.70614080121 
913	 1093.77662338491 
914	 1083.01267661271 
915	 1071.70246822657 
916	 1059.83680982402 
917	 1048.06434429755 
918	 1038.16353873637 
919	 1028.56077672954 
920	 1018.04859803741 
