Wavelength	1mm_blackPC00000.asd
592	 0.843833178491209 
593	 0.584530296752556 
594	 1.45796551666267 
595	 1.43901329691413 
596	 1.47691258043384 
597	 1.76972580667753 
598	 2.12689659754597 
599	 2.9553111595281 
600	 3.17712464067991 
601	 1.94643437124376 
602	 2.33845537691632 
603	 3.34386995341333 
604	 3.80811791851719 
605	 2.96977341545622 
606	 1.89161590433012 
607	 1.16679242575466 
608	 1.0551172085011 
609	 0.994356827153621 
610	 1.44018816324078 
611	 2.80227136985433 
612	 1.9220911063043 
613	 1.35347397457037 
614	 2.76917110914537 
615	 3.02449856662927 
616	 3.30828273071084 
617	 3.87878179199556 
618	 3.89904795091128 
619	 3.21559322364157 
620	 3.14787843492442 
621	 5.27806205948941 
622	 4.65048075654996 
623	 2.71200780704972 
624	 1.8061627535359 
625	 3.22081998681207 
626	 4.48708454966054 
627	 4.51984972482767 
628	 4.35813322269005 
629	 4.80682942209865 
630	 5.72593045504474 
631	 6.30904504950448 
632	 5.08754757996988 
633	 4.49321421823818 
634	 6.44168381719169 
635	 5.33742821684881 
636	 4.80296442393118 
637	 6.21094914716721 
638	 5.16376030768933 
639	 4.76380395076468 
640	 5.50050683470634 
641	 6.14491508092557 
642	 5.39739664683745 
643	 4.7433414666637 
644	 5.85700545086484 
645	 5.38054423002473 
646	 4.62029137385891 
647	 4.88783732857439 
648	 6.73944443738736 
649	 7.39310799373021 
650	 6.70924954992371 
651	 7.17181224357641 
652	 6.27998972012044 
653	 5.35298493631017 
654	 6.58644111443077 
655	 6.90034959696006 
656	 7.3073628083099 
657	 8.56799478213785 
658	 9.04752874812702 
659	 8.24804477864602 
660	 6.82036208987297 
661	 6.93526711004348 
662	 8.41982597348092 
663	 10.0218251393057 
664	 10.0058366895669 
665	 9.79951959089394 
666	 10.5032250209302 
667	 11.9874074918577 
668	 9.1624811119002 
669	 8.13051833900102 
670	 10.476449305988 
671	 10.1190194720616 
672	 9.4203215071526 
673	 9.80922465587093 
674	 12.3703914283058 
675	 12.335504656455 
676	 10.9624144726854 
677	 10.6128376699746 
678	 12.0483439767111 
679	 11.7725903926132 
680	 9.56066837965991 
681	 12.4913160623701 
682	 13.799447281807 
683	 12.7808551207971 
684	 12.5551214688417 
685	 13.3760126546683 
686	 14.6357483719646 
687	 15.3659670655105 
688	 14.6271538479354 
689	 14.2716955148172 
690	 15.2073587855353 
691	 15.8521587207614 
692	 16.0475150642561 
693	 15.9933375746127 
694	 16.2795974075432 
695	 16.1538994517084 
696	 16.649826407214 
697	 18.6718664590799 
698	 17.9083681641391 
699	 17.5019785497612 
700	 19.0536777034212 
701	 17.7509169026618 
702	 18.1154635628641 
703	 20.3956529964289 
704	 20.7044150601964 
705	 19.6858649798666 
706	 19.2136827413792 
707	 21.1394173824726 
708	 21.2879236101548 
709	 20.7828924831806 
710	 20.6802203923437 
711	 19.3744568112346 
712	 20.0962930648721 
713	 22.4605445996104 
714	 21.7975343525848 
715	 21.9675039985468 
716	 22.7638990463919 
717	 22.7094924248901 
718	 23.3346358836564 
719	 23.9911828536437 
720	 24.0343706400078 
721	 23.7561768187639 
722	 23.5999283112029 
723	 23.8601173686835 
724	 24.7342391405794 
725	 25.1395590931688 
