Wavelength	4mm_blackPETG00000.asd
685	-4.20607588745496 
686	-2.92419409658661 
687	-3.63730615028986 
688	-2.93274972837286 
689	-2.17217643693948 
690	-2.47040902824966 
691	-3.91377933118374 
692	-3.88845366635948 
693	-3.01160362229566 
694	-4.7059712049362 
695	-4.50865479590735 
696	-3.14492571697604 
697	-2.76605944959712 
698	-3.51042764113655 
699	-3.49336602319283 
700	-1.99361653342803 
701	-1.80056621518823 
702	-2.18964907242382 
703	-2.65486646776317 
704	-2.77920670375618 
705	-2.99216231646006 
706	-3.06523773064881 
707	-2.76591013915309 
708	-4.12682580898515 
709	-4.01711145759281 
710	-1.35808479606777 
711	-3.29998238101458 
712	-3.86930595817675 
713	-2.26831788932459 
714	-3.61336986035859 
715	-3.82004118357826 
716	-2.81306875725695 
717	-1.99030188597881 
718	-1.88713507166879 
719	-2.64772095979172 
720	-3.72547002508789 
721	-2.38653253594351 
722	-2.72986936990842 
723	-4.48247762183905 
724	-1.41421996653113 
725	-1.8476278526238 
726	-4.3006090064097 
727	-3.63792033987404 
728	-2.87191461417612 
729	-3.10710175013013 
730	-4.27528069125632 
731	-3.15038667285088 
732	-2.41180686139181 
733	-2.90767185243513 
734	-3.07735648461774 
735	-2.99154959899037 
736	-2.9699132312191 
737	-3.41150906015359 
738	-3.02443895725676 
739	-3.07447362276815 
740	-4.18637246006744 
741	-3.22266208997001 
742	-2.04006554542417 
743	-1.97458455549061 
744	-3.95737668057839 
745	-4.11197964458881 
746	-2.77057830085576 
747	-2.14366089017334 
748	-2.44849260573024 
749	-2.75937112188916 
750	-2.36585272100537 
751	-2.11379092815789 
752	-1.41608781353345 
753	-0.824249307888031 
754	-2.62635623863034 
755	-3.0451296704989 
756	-2.90176887128777 
757	-4.52856050247861 
758	-4.19535314645738 
759	-3.58686351416618 
760	-4.06658333593255 
761	-3.18852229331011 
762	-2.60005380916312 
763	-2.56441634795669 
764	-1.60814644182361 
765	-2.13636657303502 
766	-3.6430372921563 
767	-4.40413448292938 
768	-2.77944466701278 
769	-1.51008399447042 
770	-2.32688306227934 
771	-2.37546883140853 
772	-2.44473835343604 
773	-2.88311797289632 
774	-3.68997132718695 
775	-2.75927524037024 
776	-2.12238677132544 
777	-4.29093014501219 
778	-3.48359234581223 
779	-2.46946300621281 
780	-3.0974636924789 
781	-2.62741545685921 
782	-2.2328841127959 
783	-2.19869671022326 
784	-2.16042685348531 
785	-2.84584470376312 
786	-3.56860847378562 
787	-3.43937918949861 
788	-2.78911643601698 
789	-2.92987257785262 
790	-3.90447184152803 
791	-2.89197449863648 
792	-2.17816484762594 
793	-2.35908966928125 
794	-3.03666568464256 
795	-3.15958913030195 
796	-3.34464482505449 
797	-3.98640658051243 
798	-2.41619282774363 
799	-1.99850433138857 
800	-3.34733822997421 
801	-2.2533524964618 
802	-2.80364487093665 
803	-4.28554896446463 
804	-4.07726572438239 
805	-4.25915279304472 
806	-4.1858610869681 
807	-3.27413808955744 
