Wavelength	1mm_grayABS00000.asd
588	 0.269438565387288 
589	-0.671314170544674 
590	-1.501736337799 
591	-1.50776929907304 
592	-1.44728609580223 
593	-0.870149641551922 
594	-2.54726709851395E-02 
595	-0.970101032750011 
596	-0.188366687297568 
597	 1.29673743865428 
598	-0.577933355981952 
599	-0.7750967954348 
600	-0.324001429204355 
601	-1.31341619491055 
602	-1.79195870904545 
603	-2.02389606202588 
604	-2.12916935915837 
605	-1.20246315998146 
606	-1.29068581374855 
607	-2.10149613797884 
608	-1.14385020809862 
609	-1.17582834762149 
610	-1.55817085814364 
611	-0.875571008030676 
612	-1.5346352214655 
613	-1.6762905415447 
614	-0.273133497011782 
615	-0.396824307298507 
616	-0.430828783730928 
617	 1.42993660978513E-02 
618	-0.121029744646043 
619	-0.59992167018117 
620	-1.50190912042632 
621	-2.72336478117027 
622	-0.660153407970409 
623	 1.26356359639536 
624	 0.146848338824786 
625	 7.04649083525924E-02 
626	-0.809867686538177 
627	-2.59572649630198 
628	-2.26799225708065 
629	-0.991499908864887 
630	-8.37735558863215E-02 
631	-1.03071218005392 
632	 0.163718097469389 
633	 0.517382243891523 
634	-2.62472171830168 
635	-2.04310048000352 
636	-0.892499066537338 
637	-1.01892520206334 
638	-0.410717281367275 
639	-5.14252449333757E-02 
640	-6.54039479884216E-02 
641	-0.043082191881876 
642	-1.59230175539571 
643	-2.88334603679169 
644	-1.75802213738541 
645	-1.01121716521937 
646	-0.628755706454317 
647	-0.493345916931349 
648	-0.994430106053555 
649	-2.02660250176355 
650	-2.8548486827718 
651	-1.99833526360746 
652	-1.08198382895645 
653	-0.783254294236648 
654	-1.28132113194985 
655	-1.10178001093901 
656	-0.866854043798349 
657	-1.09320188512991 
658	-1.0445887412637 
659	-0.745031140035038 
660	-0.45101756880154 
661	-0.791187618070022 
662	-0.86516993859583 
663	-0.801527189874406 
664	-1.11829129557766 
665	-1.22378378619725 
666	-0.832325449522452 
667	-3.84638701460171E-02 
668	-0.124578692456622 
669	-0.488167961431077 
670	-0.718162492722609 
671	-0.749545734472623 
672	-0.609708001394141 
673	-0.672226927849237 
674	-1.45022888615294 
675	-1.43110550324336 
676	-0.416436177627867 
677	 0.98244379812903 
678	-0.045377899263192 
679	-1.66374817645872 
680	-2.4176953385837 
681	-1.85178403429774 
682	-1.03551796259379 
683	-0.47731896353839 
684	-0.359927282472716 
685	-0.499834265719695 
686	-0.996753730157796 
687	-1.76337936346518 
688	-1.16831309810574 
689	-0.759003224494961 
690	-1.34365222092986 
691	-1.49388735139614 
692	-1.99205438532854 
693	-2.46628697551198 
694	-1.58586136579128 
695	-1.54387427493422 
696	-1.42162011320892 
697	 2.63247208844897E-02 
698	-1.20890787398382 
699	-2.09424449899653 
700	-0.905217814355119 
701	-1.21328096277382 
702	-1.73477944268764 
703	-1.935741072843 
704	-1.89322315384049 
705	-1.43275219938813 
706	-1.23385835751831 
707	-2.05517302604602 
708	-2.48602873526498 
709	-2.42792621187479 
710	-1.64742642649588 
711	 1.76286005906854 
712	 1.80981014085455 
713	-1.33474615206421 
714	-0.340877182255908 
715	 0.959672792049721 
716	 0.906317122010826 
717	-1.18494352047279 
718	-2.1064498981336 
719	-1.5177763305201 
720	-0.19478131240848 
721	-1.00236148184075 
722	-1.29768741068943 
723	-0.747486915717217 
724	-2.07014789768155 
725	-2.19662457465723 
726	-1.03175864356953 
727	 0.162692267413109 
728	-0.655754879963573 
729	-1.31757283150463 
730	-0.247432578687482 
731	-0.284373180620281 
732	-0.646023147495839 
733	-0.964499285560067 
734	-1.4481161240537 
735	-2.20314853421847 
736	-2.20304370468408 
737	-0.316859817994628 
738	-1.09610259874781 
739	-1.87092129500353 
740	-0.432704969778671 
741	-0.675200886221325 
742	 0.333622291001074 
743	 2.3602677937968 
744	 0.555509865622769 
745	-0.422613962203719 
746	-0.772948614082989 
747	-2.35651168077103 
748	-1.79691701748447 
749	-0.314329226395169 
750	 0.441134398675423 
751	-0.13903327435252 
752	 2.24143530204731E-02 
753	 0.84547633314219 
754	-0.760609433879285 
755	-1.23146590853969 
756	-0.448743582571839 
757	 0.19237311063925 
758	-1.24624443829741 
759	-1.24862747881392 
760	 1.6320463931803 
761	-0.895847158798172 
762	-1.70587973335455 
763	 0.329462330006415 
764	-0.905472035848344 
765	-1.15781792277738 
766	-0.167384093190654 
767	 0.85016517105563 
768	 0.84732031992928 
769	-0.551396138862442 
770	-2.72431033480327 
771	-2.70689439281224 
772	-1.32676446034478 
773	 0.14594364589857 
774	-0.175881515114851 
775	-0.836815287112286 
776	-1.01491466639727 
777	-0.374206247385973 
778	-1.0492623809702 
779	-1.68924769358446 
780	-1.29906081570366 
781	-0.528982538048137 
782	-0.233927644051499 
783	-0.886096890452637 
784	-2.61369137243502 
785	-2.18457456108876 
786	-1.04077341841005 
787	-1.34126959004132 
788	-0.492237674156505 
789	-0.082484085743041 
790	-0.698980052274033 
791	-0.237302412476188 
792	-4.66431668810412E-02 
793	-0.185233603431291 
794	-4.27003956068196E-03 
795	-0.346461829261105 
796	-0.582583908821953 
797	-0.138528010204264 
798	 7.56346193513487E-02 
799	-1.31078826146745 
800	-3.47080740169101 
801	-1.88677940841826 
802	 8.47356050424707E-02 
803	 1.00761074455284 
804	 0.371919316521365 
805	 0.591706836463777 
806	 0.109368636440368 
807	-1.77259650305004 
808	-0.971753810066862 
809	 1.04994007259824 
810	 2.22772032663763 
811	-0.373491268418016 
812	-1.74408771107838 
813	-1.89890423057931 
814	-2.31740371720731 
815	-2.16882377782469 
816	-1.06423838629788 
817	 0.449444633594067 
818	-0.465318105006872 
819	-0.303978871198426 
820	 0.449781203530051 
821	-1.21619952711432 
822	-1.96574140042054 
823	-1.61553382827867 
824	-0.851119148239512 
825	-0.740347196535308 
826	-1.11307873529485 
827	-1.42335699434245 
828	-0.498897392834585 
829	-0.721471785256714 
830	-1.16834446768878 
831	-8.37247994473923E-03 
832	-0.95801774029379 
833	-1.79849109369312 
834	-1.00023233024147 
835	-0.856568908385679 
836	-0.372854207470125 
837	 0.168019357470258 
838	-0.488342998911152 
839	-1.80327189416537 
840	-1.5794815955569 
841	 1.23510946677703 
842	 0.378660296337728 
843	-0.768806154548692 
844	-0.462393937544768 
845	 4.48346410188459E-02 
846	 2.89438175978412E-02 
847	-0.578922420580815 
848	-1.37370486214052 
849	-1.08670067559023 
850	-0.896458699827033 
851	-1.48713654740942 
852	-1.56517201198842 
853	-0.708404177338367 
854	 9.81070042750052E-02 
855	-1.10950374638073 
856	-8.26332810919828E-02 
