Wavelength	reference_grayABS00000.asd
1266	 28899.3433150727 
1267	 28919.2027486639 
1268	 28932.7850757695 
1269	 28942.5163868972 
1270	 28948.3530106109 
1271	 28944.6313887283 
1272	 28936.2724342027 
1273	 28924.5294503987 
1274	 28905.2542053202 
1275	 28882.1004515435 
1276	 28855.08139823 
1277	 28820.8944169019 
1278	 28782.3533043673 
1279	 28739.8574411588 
1280	 28692.7505229702 
1281	 28641.2562059114 
1282	 28584.0646211515 
1283	 28526.4987392467 
1284	 28463.4543359384 
1285	 28402.0624308487 
1286	 28338.6159058505 
1287	 28278.3887002255 
1288	 28217.9178637102 
1289	 28161.8042175733 
1290	 28107.4988793607 
1291	 28054.6344809114 
1292	 28002.6002213857 
1293	 27950.4604779703 
1294	 27905.1759694289 
1295	 27867.2594658926 
1296	 27837.0387119868 
1297	 27811.1773001905 
1298	 27789.7723623153 
1299	 27772.130714728 
1300	 27756.1375558534 
1301	 27750.3919459735 
1302	 27753.0174898597 
1303	 27756.6943486691 
1304	 27767.9790802198 
1305	 27783.9888925643 
1306	 27801.02741482 
1307	 27822.69955322 
1308	 27843.3566024411 
1309	 27865.1902396229 
1310	 27885.7513248381 
1311	 27907.4211094534 
1312	 27933.3337222673 
1313	 27962.7143954917 
1314	 27992.0736679489 
1315	 28023.850806758 
1316	 28056.6882921372 
1317	 28089.4778091699 
1318	 28127.0976785141 
1319	 28166.2388792534 
1320	 28212.0236998033 
1321	 28264.1280494689 
1322	 28318.1895750507 
1323	 28378.0429848415 
1324	 28440.4997328664 
1325	 28505.6519583269 
1326	 28578.6134538763 
1327	 28658.1393599588 
1328	 28746.7568862721 
1329	 28841.3753753867 
1330	 28935.5763679239 
1331	 29034.3786441622 
1332	 29135.6629769991 
1333	 29241.8417629871 
1334	 29358.2118992259 
1335	 29476.0980718887 
1336	 29597.8506228355 
1337	 29725.6335962815 
1338	 29853.6025322362 
1339	 29982.8452642795 
1340	 30109.8552590795 
1341	 30233.7849191993 
1342	 30354.2451342221 
1343	 30469.9256106172 
1344	 30584.2540730432 
1345	 30693.6847530003 
1346	 30794.7064668353 
1347	 30885.8234454672 
1348	 30970.6120361085 
1349	 31042.1402006244 
1350	 31100.475531848 
1351	 31151.5134877974 
1352	 31189.4919680586 
